"","sub","hemi","AssessmentAge","aalf","central","ds","half","ifs","imfs-h","imfs-v","iprs","lfms","pimfs","pmfs-a","pmfs-i","pmfs-p","prts","sfs-a","sfs-p","sprs","ts"
"25","n086t2","rh",12.2,0.25206551,0.222398743,0.093463428,0.313920945,0.19469066,0.225415066,0.147766769,0.348854274,-0.311125547,0.041841283,0.114783607,-0.050425749,0.12655133,-0.12311694,0.32910952,0.217900559,0.283996433,-0.101347864
"26","n088t1","rh",10.52,-0.027133986,0.106143117,0.155516118,0.111912899,0.261333495,0.203504056,0.193800211,0.242418453,-0.298488915,0.070007034,0.27340588,0.251663834,0.244497821,0.207028985,0.106370024,0.323436677,0.216683045,-0.126642719
"27","n095t1","rh",10.67,0.192008018,0.19009304,-0.09760385,0.120137021,0.248997077,0.186219156,0.181392923,0.204356775,-0.256375849,-0.005718851,0.20983237,0.127329811,0.039315861,-0.072616257,0.23924014,0.277524531,0.220945999,-0.328705281
"28","n097t1","rh",11.25,0.231495291,0.222775877,0.121477894,0.147240058,0.199596956,0.141608283,0.167194128,0.189323053,-0.14636521,0.341498792,0.137031272,0.123443604,0.025300791,-0.047223583,0.142265171,0.244716078,0.166406289,-0.134247974
"29","n098t2","rh",8.15,0.100226432,0.260906994,-0.216886416,-0.005947913,0.295265257,0.308245242,0.156491026,0.205031365,-0.174970627,0.046572145,0.117427275,-0.324294627,-0.071799107,0.12930131,0.236868501,0.250705481,0.284362018,-0.110341229
"30","n100t2","rh",16.91,0.252428174,0.225901455,-0.117393889,-0.017624762,0.147138566,0.146056771,0.210799709,0.233735979,-0.333436042,0.005641819,0.027496515,0.139683902,0.051370356,-0.170714363,0.338089973,0.251554489,0.277270496,0.177772522
"31","n101t1","rh",11.14,0.304259866,0.222799525,-0.094422549,0.135252535,0.115481965,0.102544211,0.285051554,0.223236665,-0.187919945,-0.049184378,0.124981463,0.421858549,0.275157601,-0.277482212,0.157968208,0.283093721,0.281045973,-0.424634427
"32","n104t1","rh",6.97,0.187010944,0.197324738,-0.068870306,0.212431282,0.205272019,0.111928977,0.219895095,0.256697536,-0.404414535,-0.258096576,0.208319291,-0.016039666,-0.377914816,-0.054811299,0.280019194,0.262874633,0.255345523,-0.298074484
"33","n108t2","rh",16.46,0.130069777,0.260881454,0.121971942,0.058994945,0.299348503,0.228682786,0.148432359,0.283064961,-0.159685224,0.272675514,-0.036429603,-0.062774219,0.089727126,-0.042002894,0.259565353,0.266446471,0.257475525,-0.294018537
"34","n110t2","rh",7.49,-0.06564831,0.198139355,-0.049367025,0.171110392,0.281310022,0.097595543,0.223369181,0.334419936,-0.226145804,-0.02341334,0.125383779,0.101965912,-0.165081993,0.040933549,0.09234421,0.259556442,0.175686434,-0.20570071
"35","n114t1","rh",18.62,0.128190935,0.245429009,-0.076284669,-0.119270965,0.201953158,0.136848137,0.203944519,0.266061693,-0.162758231,-0.233593464,0.063073747,0.294932753,0.09510731,-0.053619865,0.228963092,0.156077698,0.199889719,-0.068760902
"36","n115t1","rh",10.95,0.31852445,0.190242529,0.042500269,0.109198973,0.239153892,0.152246654,0.001594703,0.256685317,-0.234884471,0.226280585,-0.198417574,0.140962645,-0.171382487,-0.179746538,0.347621739,0.302624047,0.248280987,-0.072289899
"37","n116t1","rh",13.73,0.377245039,0.228524417,-0.17792961,0.119807974,0.158362955,0.152287394,0.155207276,0.278702289,-0.1840927,0.135198027,0.349734396,0.132691503,-0.017291965,-0.061840326,0.125120804,0.236458898,0.162873089,0.209128514
"38","n120t1","rh",12.6,0.02471354,0.171641827,-0.090393685,0.02434116,0.185390085,0.111794315,0.249723226,0.160217226,-0.036161654,0.000408054,0.053822774,-0.113270335,0.073463537,-0.044235606,0.18313323,0.270008802,0.266109318,-0.146528184
"39","n123t2","rh",11.88,0.188366577,0.203507572,-0.058483418,0.122273989,0.268055946,0.210547581,0.12993516,0.136304542,-0.139722794,-0.148926929,-0.07823088,-0.056090225,-0.170269549,-0.380109161,0.131701604,0.242953047,0.32366848,-0.240105376
"40","n124t2","rh",8.6,0.310835123,0.219119459,-0.069943145,0.074375264,0.230546847,0.11071638,0.092188358,0.276741534,-0.387910843,0.004394256,-0.017297249,-0.137742087,0.123244613,0.079417482,0.273950905,0.206716329,0.156800821,-0.243619293
"41","n126t2","rh",15.21,0.143003553,0.189295977,-0.069430314,0.260192394,0.344436586,0.245573103,0.175111756,0.24634622,-0.142045975,-0.020516355,0.195918903,-0.073555015,0.15136762,0.16441974,0.167312935,0.108806886,0.250229001,-0.133600071
"42","n139t1","rh",14.31,0.544850469,0.213432699,-0.080776952,0.333597749,0.156091318,0.258063883,0.20860365,0.366915613,-0.105848707,-0.06008786,-0.07149215,0.122289613,-0.061614726,-0.110325478,0.244875029,0.191891968,0.263326764,0.014054125
"43","n151t2","rh",11.67,0.226603717,0.214517534,-0.001401778,0.00012134,0.307656378,0.253992677,0.125387207,0.279551983,-0.066880763,0.082455344,-0.01935292,-0.150180876,-0.384665579,0.082518034,0.316846192,0.301658332,0.27215144,-0.120304614
"44","n157t2","rh",15.04,-0.072746985,0.216883719,-0.029534504,0.181672364,0.3435449,0.103914909,-0.070073865,0.257630974,-0.185035035,0.231454358,0.032015543,-0.065488502,-0.190547109,0.012773448,0.211126328,0.254348755,0.326582581,-0.10236831
"45","n160t2","rh",17.8,0.303063571,0.17278941,-0.050057441,-0.187604234,0.189840883,0.229908645,0.169995755,0.261103123,0.09850315,0.171001926,-0.033695593,-0.035130993,0.066433258,-0.170586318,0.302353621,0.177299678,0.206685692,-0.091494486
"46","n161t2","rh",17.87,0.270551026,0.228705913,0.033889242,0.114679582,0.138944775,0.09810669,0.359101444,0.262684911,-0.013242383,0.279601783,0.061623227,0.117357515,-0.38226068,-0.183469415,0.240253329,0.278973848,0.290875286,-0.261814535
"47","n164t2","rh",13.34,0.103366822,0.219053477,-0.075867519,0.353477448,0.08823432,0.196886793,0.191944256,0.296652943,-0.06958203,0.027105974,0.301496416,0.247055829,0.13272734,0.055486601,0.072673313,0.234246552,0.247116372,0.050782785
"48","n175t1","rh",8.42,0.183975145,0.152197063,-0.12908265,-0.004088804,0.306666821,-0.019444115,0.096183643,0.162821993,-0.245061234,-0.007675975,0.276057929,0.117291808,-0.184129611,-0.054727558,0.246486306,0.243315786,0.288057894,-0.175273076
"49","n178t2","rh",8.21,0.187005624,0.202850491,-0.131258652,0.25195533,0.220407352,0.213479638,0.201383576,0.252774119,0.094191551,0.062902503,-0.355234206,-0.192429185,0.010327592,-0.184600756,0.282186329,0.180547148,0.252567172,0.091682024
"50","n183t1","rh",12.38,0.108734988,0.214241818,-0.115107663,0.216499612,0.309326649,0.092954777,0.219182819,0.184183374,-0.070587069,-0.021058524,-0.164698452,0.034187544,-0.351466894,0.268801004,0.32003057,0.268912524,0.255347282,0.016057033
"51","n185t1","rh",11.54,0.146638587,0.219983041,0.05766103,0.185761213,0.184320599,0.206123963,0.238951549,0.322077096,-0.380552977,-0.051641107,0.292143106,0.348779708,0.150679305,-0.195784271,0.135437936,0.26905936,0.243379399,-0.049562972
"52","n190t2","rh",16.74,0.121899128,0.212916404,0.114146858,0.048898064,0.224498644,0.215280592,0.066883713,0.221349254,0.260628909,-0.029006362,0.262387007,0.25663954,0.207443342,-0.216268614,0.149531037,0.186543018,0.388891131,0.113552235
"53","n192t1","rh",12.92,0.343002737,0.190537289,-0.127672583,0.252716005,0.178826734,0.296656132,0.180467397,0.227129668,-0.183633327,-0.015419555,0.087633245,-0.154289722,-0.208083436,-0.165303484,0.234427303,0.317131966,0.176453769,0.029806707
"54","n193t1","rh",9.44,0.171884522,0.237022638,-0.030546619,0.272185832,0.222543374,0.258938819,0.097783424,0.219950184,-0.164301708,-0.067218937,0.18308413,-0.129553407,0.204224363,0.013485284,0.146355331,0.294927031,0.240849793,-0.29798162
"55","n196t1","rh",6.44,0.209165156,0.175034449,-0.17953755,-0.09110231,0.229192436,0.297903657,0.266595811,0.225542888,-0.330234885,-0.03253511,0.014365605,0.248267069,0.042774223,-0.266222775,0.247509629,0.290607601,0.256411523,0.043034639
"56","n198t1","rh",10.31,0.201245785,0.200756088,-0.071552463,0.208054557,0.189983159,0.291711479,0.234992594,0.270596683,0.119949102,0.074038625,0.202187106,-0.080854267,-0.226445988,-0.326030016,0.267392039,0.234551609,0.201472923,0.003026807
"57","n199t2","rh",12.7,0.173215389,0.214920521,-0.106401712,0.238576755,0.245172411,-0.008232561,-0.001472522,0.279687643,-0.13413097,0.019178614,-0.257995963,-0.011116154,0.289221734,0.210323587,0.206189409,0.031332932,0.302881718,-0.046550825
